Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
CO;DF;BRASILIA;EUROGAS - POSTOS DE SERVICOS LTDA.; 03.648.818/0001-03;QUADRA QS 9 RUA 123;S/N;LOTE  06 08 10 12 E 14;AREAL (AGUAS CLARAS);71977-720;GASOLINA ADITIVADA;03/10/2022;5,09;;R$ / litro;VIBRA ENERGIA
CO;DF;BRASILIA;LR COMERCIO DE PRODUTOS E DERIVADOS DE PETROLEO LTDA; 24.912.669/0001-18; QNO 15;S/N;LOTE PLL;CEILANDIA;72255-600;GASOLINA;03/10/2022;4,89;;R$ / litro;RAIZEN
CO;DF;BRASILIA;LR COMERCIO DE PRODUTOS E DERIVADOS DE PETROLEO LTDA; 24.912.669/0001-18; QNO 15;S/N;LOTE PLL;CEILANDIA;72255-600;ETANOL;03/10/2022;3,49;;R$ / litro;RAIZEN
CO;DF;BRASILIA;LR COMERCIO DE PRODUTOS E DERIVADOS DE PETROLEO LTDA; 24.912.669/0001-18; QNO 15;S/N;LOTE PLL;CEILANDIA;72255-600;GASOLINA ADITIVADA;03/10/2022;5,04;;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO BRAGA LTDA; 05.208.306/0001-51;QN-QUADRA NORTE 502;S/N;CONJUNTO 01, LOTE 02;SAMAMBAIA;72310-301;GASOLINA;03/10/2022;4,89;;R$ / litro;IPIRANGA
CO;DF;BRASILIA;AUTO POSTO BRAGA LTDA; 05.208.306/0001-51;QN-QUADRA NORTE 502;S/N;CONJUNTO 01, LOTE 02;SAMAMBAIA;72310-301;ETANOL;03/10/2022;3,69;;R$ / litro;IPIRANGA
CO;DF;BRASILIA;AUTO POSTO BRAGA LTDA; 05.208.306/0001-51;QN-QUADRA NORTE 502;S/N;CONJUNTO 01, LOTE 02;SAMAMBAIA;72310-301;GASOLINA ADITIVADA;03/10/2022;5,04;;R$ / litro;IPIRANGA
CO;DF;BRASILIA;POSTO CENTRAL PARK DERIVADOS DE PETROLEO LTDA; 01.012.151/0001-22; QS 05 LOTES 02, 04 E 06 RUA;312;;AGUAS CLARAS;70310-500;GASOLINA;03/10/2022;4,99;;R$ / litro;BRANCA
CO;DF;BRASILIA;POSTO CENTRAL PARK DERIVADOS DE PETROLEO LTDA; 01.012.151/0001-22; QS 05 LOTES 02, 04 E 06 RUA;312;;AGUAS CLARAS;70310-500;ETANOL;03/10/2022;3,69;;R$ / litro;BRANCA
CO;DF;BRASILIA;POSTO CENTRAL PARK DERIVADOS DE PETROLEO LTDA; 01.012.151/0001-22; QS 05 LOTES 02, 04 E 06 RUA;312;;AGUAS CLARAS;70310-500;GASOLINA ADITIVADA;03/10/2022;4,99;;R$ / litro;BRANCA
CO;DF;BRASILIA;POSTO CEILANDIA LTDA; 00.342.436/0001-69; CNM  02 LOTE A;S N;;CEILANDIA;72210-500;GASOLINA;03/10/2022;4,89;;R$ / litro;RAIZEN
CO;DF;BRASILIA;POSTO CEILANDIA LTDA; 00.342.436/0001-69; CNM  02 LOTE A;S N;;CEILANDIA;72210-500;ETANOL;03/10/2022;3,25;;R$ / litro;RAIZEN
CO;DF;BRASILIA;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA; 00.306.597/0017-64;QUADRA QNO 05 PLL;S/N;;CEILANDIA;72251-000;GASOLINA;03/10/2022;5,15;;R$ / litro;VIBRA ENERGIA
CO;DF;BRASILIA;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA; 00.306.597/0017-64;QUADRA QNO 05 PLL;S/N;;CEILANDIA;72251-000;ETANOL;03/10/2022;3,59;;R$ / litro;VIBRA ENERGIA
CO;DF;BRASILIA;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA; 00.306.597/0017-64;QUADRA QNO 05 PLL;S/N;;CEILANDIA;72251-000;GASOLINA ADITIVADA;03/10/2022;5,15;;R$ / litro;VIBRA ENERGIA
CO;DF;BRASILIA;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA; 00.306.597/0008-73;SETOR CSD 06 LOTE;36;SETOR D SUL;TAGUATINGA;72020-000;GASOLINA;03/10/2022;5,18;;R$ / litro;IPIRANGA
CO;DF;BRASILIA;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA; 00.306.597/0008-73;SETOR CSD 06 LOTE;36;SETOR D SUL;TAGUATINGA;72020-000;ETANOL;03/10/2022;3,58;;R$ / litro;IPIRANGA
CO;DF;BRASILIA;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA; 00.306.597/0008-73;SETOR CSD 06 LOTE;36;SETOR D SUL;TAGUATINGA;72020-000;GASOLINA ADITIVADA;03/10/2022;5,18;;R$ / litro;IPIRANGA
NE;MA;SAO LUIS;SERVI POSTO GASOLEOS COHATRAC LTDA; 08.892.570/0001-45;RUA 1300;1;QUADRA 13 LOTES 01 E 06;PARQUE AURORA;65050-330;GASOLINA;03/10/2022;4,35;;R$ / litro;ALESAT
NE;MA;SAO LUIS;SERVI POSTO GASOLEOS COHATRAC LTDA; 08.892.570/0001-45;RUA 1300;1;QUADRA 13 LOTES 01 E 06;PARQUE AURORA;65050-330;ETANOL;03/10/2022;4,09;;R$ / litro;ALESAT
NE;MA;SAO LUIS;J R EQUIPAMENTOS PARA COMUNICACAO EIRELI; 08.386.800/0002-85;AVENIDA DOS FRANCESES;36;B;SANTO ANTONIO;65036-284;GASOLINA;03/10/2022;4,69;;R$ / litro;VIBRA ENERGIA
NE;MA;SAO LUIS;M. E. P. DA COSTA; 08.302.673/0001-08;AVENIDA LOURENCO VIEIRA DA SILVA;98;;COHAPAM;65056-060;GASOLINA;03/10/2022;4,4;;R$ / litro;BRANCA
NE;MA;SAO LUIS;M. E. P. DA COSTA; 08.302.673/0001-08;AVENIDA LOURENCO VIEIRA DA SILVA;98;;COHAPAM;65056-060;ETANOL;03/10/2022;4;;R$ / litro;BRANCA
NE;MA;SAO LUIS;M. E. P. DA COSTA; 08.302.673/0001-08;AVENIDA LOURENCO VIEIRA DA SILVA;98;;COHAPAM;65056-060;GASOLINA ADITIVADA;03/10/2022;4,4;;R$ / litro;BRANCA
NE;MA;SAO LUIS;C N M COMERCIO DE COMBUSTIVEIS LTDA; 08.211.052/0001-19;RUA NOSSA SENHORA DA LUZ;1;;ANIL;65057-220;GASOLINA;03/10/2022;4,36;;R$ / litro;BRANCA
NE;MA;SAO LUIS;C N M COMERCIO DE COMBUSTIVEIS LTDA; 08.211.052/0001-19;RUA NOSSA SENHORA DA LUZ;1;;ANIL;65057-220;ETANOL;03/10/2022;3,88;;R$ / litro;BRANCA
NE;MA;SAO LUIS;C N M COMERCIO DE COMBUSTIVEIS LTDA; 08.211.052/0001-19;RUA NOSSA SENHORA DA LUZ;1;;ANIL;65057-220;GASOLINA ADITIVADA;03/10/2022;4,36;;R$ / litro;BRANCA
NE;MA;SAO LUIS;ANTONIA LIANE GOMES SOARES; 08.585.377/0001-61;AVENIDA LOURENCO VIEIRA DA SILVA;8;QUADRA 44-A;JARDIM SAO CRISTOVAO II;65055-380;GASOLINA;03/10/2022;4,45;;R$ / litro;BRANCA
NE;MA;SAO LUIS;ANTONIA LIANE GOMES SOARES; 08.585.377/0001-61;AVENIDA LOURENCO VIEIRA DA SILVA;8;QUADRA 44-A;JARDIM SAO CRISTOVAO II;65055-380;ETANOL;03/10/2022;3,99;;R$ / litro;BRANCA
NE;MA;SAO LUIS;ANTONIA LIANE GOMES SOARES; 08.585.377/0001-61;AVENIDA LOURENCO VIEIRA DA SILVA;8;QUADRA 44-A;JARDIM SAO CRISTOVAO II;65055-380;GASOLINA ADITIVADA;03/10/2022;4,45;;R$ / litro;BRANCA
NE;MA;SAO LUIS;J R FERREIRA EIRELI; 07.233.294/0001-40;AVENIDA DANIEL DE LA TOUCHE;2004;ILHA DE BOMBA;COHAMA;65074-115;GASOLINA;03/10/2022;4,38;;R$ / litro;BRANCA
NE;MA;SAO LUIS;J R FERREIRA EIRELI; 07.233.294/0001-40;AVENIDA DANIEL DE LA TOUCHE;2004;ILHA DE BOMBA;COHAMA;65074-115;ETANOL;03/10/2022;3,89;;R$ / litro;BRANCA
NE;MA;SAO LUIS;J R FERREIRA EIRELI; 07.233.294/0001-40;AVENIDA DANIEL DE LA TOUCHE;2004;ILHA DE BOMBA;COHAMA;65074-115;GASOLINA ADITIVADA;03/10/2022;4,41;;R$ / litro;BRANCA
