INSCRICAO;FAIXA_ETARIA;SEXO;ESTADO_CIVIL;COR_RACA;NACIONALIDADE;ESCOLA;ENSINO;MUNICIPIO_ESC;UF_ESC;DEPENDENCIA_ADM_ESC;LOCALIZACAO_ESC;SIT_FUNC_ESC;MUNICIPIO_PROVA;NOTA_CN;NOTA_CH;NOTA_LC;NOTA_MT;LINGUA;NOTA_COMP1;NOTA_COMP2;NOTA_COMP3;NOTA_COMP4;NOTA_COMP5;NOTA_REDACAO;NOTA_FINAL
210061613402;19 anos;M;1;Parda;Brasileiro(a);Pública;Regular;Macapá;AP;Estadual;Urbana;Ativa;Macapá;447.6;523.1;494.9;552.4;Espanhol;80.0;120.0;120.0;120.0;80.0;520.0;507.6
210060264808;23 anos;F;1;Branca;Brasileiro(a);Não respondeu;;;;;;;Macapá;472.0;558.1;516.6;348.2;Inglês;140.0;160.0;120.0;140.0;100.0;660.0;510.9799999999999
210061932952;21 anos;M;1;Branca;Brasileiro(a);Não respondeu;;;;;;;Mazagão;543.2;569.7;474.9;330.2;Espanhol;80.0;120.0;100.0;100.0;80.0;480.0;479.6
210061796041;18 anos;M;1;Branca;Brasileiro(a);Pública;Regular;;;;;;Oiapoque;548.1;501.2;473.1;465.2;Inglês;100.0;120.0;80.0;120.0;40.0;460.0;489.5200000000001
210061757039;19 anos;M;1;Preta;Brasileiro(a);Pública;Regular;Santana;AP;Estadual;Urbana;Ativa;Santana;490.3;447.7;424.1;413.0;Inglês;100.0;180.0;120.0;100.0;120.0;620.0;479.02
210061208651;20 anos;F;1;Branca;Brasileiro(a);Não respondeu;;;;;;;Santana;561.3;605.4;632.9;672.7;Espanhol;140.0;180.0;140.0;160.0;120.0;740.0;642.46
210061340197;18 anos;M;1;Parda;Brasileiro(a);Pública;Regular;;;;;;Porto Grande;423.2;431.4;328.8;404.9;Inglês;120.0;120.0;100.0;120.0;0.0;460.0;409.65999999999997
210059125056;31-35 anos;F;0;Parda;Brasileiro(a);Não respondeu;;;;;;;Macapá;542.2;561.4;525.6;576.8;Espanhol;120.0;160.0;140.0;160.0;100.0;680.0;577.2
210061263000;19 anos;F;0;Parda;Brasileiro(a);Pública;Regular;Macapá;AP;Estadual;Urbana;Ativa;Macapá;490.9;486.8;488.6;344.3;Espanhol;140.0;160.0;120.0;160.0;140.0;720.0;506.12000000000006
210061442230;21 anos;M;1;Parda;Brasileiro(a);Não respondeu;;;;;;;Laranjal do Jari;401.5;515.8;526.4;551.7;Inglês;120.0;40.0;40.0;120.0;0.0;320.0;463.0799999999999
210061210711;18 anos;M;1;Parda;Brasileiro(a);Pública;Regular;;;;;;Macapá;469.2;560.2;537.5;515.3;Inglês;100.0;120.0;140.0;120.0;100.0;580.0;532.4399999999999
210061789490;26-30 anos;M;1;Parda;Brasileiro(a);Não respondeu;;;;;;;Macapá;407.8;481.6;429.7;382.4;Espanhol;120.0;120.0;80.0;80.0;0.0;400.0;420.3
210061322571;23 anos;F;1;Parda;Brasileiro(a);Não respondeu;;;;;;;Macapá;592.2;599.0;613.6;749.8;Inglês;160.0;120.0;120.0;140.0;100.0;640.0;638.9200000000001
210061201354;18 anos;F;1;Branca;Brasileiro(a);Pública;Regular;;;;;;Mazagão;529.6;563.8;559.9;512.8;Espanhol;160.0;180.0;160.0;160.0;180.0;840.0;601.22
210061665363;20 anos;M;1;Parda;Brasileiro(a);Não respondeu;;;;;;;Macapá;486.0;406.2;461.1;377.7;Espanhol;120.0;120.0;80.0;100.0;80.0;500.0;446.2
210059765710;26-30 anos;F;3;Parda;Brasileiro(a);Não respondeu;;;;;;;Laranjal do Jari;335.4;458.8;466.5;381.4;Inglês;100.0;40.0;40.0;100.0;0.0;280.0;384.41999999999996
210059009344;21 anos;F;1;Preta;Brasileiro(a);Não respondeu;;;;;;;Macapá;553.0;535.3;693.9;526.5;Inglês;120.0;120.0;100.0;120.0;100.0;560.0;573.74
210061754799;19 anos;F;1;Parda;Brasileiro(a);Pública;Regular;Macapá;AP;Estadual;Urbana;Ativa;Macapá;365.3;442.1;388.5;447.9;Espanhol;80.0;120.0;100.0;80.0;60.0;440.0;416.76000000000005
210061495422;20 anos;M;1;Branca;Brasileiro(a);Não respondeu;;;;;;;Santana;474.0;536.6;546.0;635.7;Inglês;160.0;200.0;120.0;200.0;200.0;880.0;614.46
210061678458;18 anos;M;1;Parda;Brasileiro(a);Pública;Regular;;;;;;Santana;324.7;510.7;464.8;482.3;Espanhol;100.0;120.0;100.0;160.0;140.0;620.0;480.5
210059294707;24 anos;M;1;Parda;Brasileiro(a);Não respondeu;;;;;;;Macapá;523.5;595.2;494.5;420.1;Espanhol;80.0;120.0;60.0;80.0;60.0;400.0;486.66
210060022980;22 anos;M;1;Branca;Brasileiro(a);Não respondeu;;;;;;;Macapá;583.8;615.9;560.8;720.4;Espanhol;120.0;200.0;140.0;180.0;200.0;840.0;664.18
210059765659;24 anos;F;1;Branca;Brasileiro(a);Não respondeu;;;;;;;Laranjal do Jari;521.6;538.7;540.8;501.4;Inglês;120.0;120.0;100.0;100.0;60.0;500.0;520.5
210061195189;19 anos;M;1;Parda;Brasileiro(a);Pública;Regular;Laranjal do Jari;AP;Estadual;Urbana;Ativa;Laranjal do Jari;510.8;450.5;466.5;539.8;Espanhol;120.0;120.0;100.0;100.0;80.0;520.0;497.52
210060898846;20 anos;M;1;Parda;Brasileiro(a);Não respondeu;;;;;;;Macapá;470.1;362.0;472.7;390.5;Espanhol;120.0;120.0;100.0;100.0;0.0;440.0;427.06000000000006
210060950729;22 anos;F;0;Parda;Brasileiro(a);Não respondeu;;;;;;;Macapá;438.6;462.3;468.1;492.1;Espanhol;120.0;120.0;80.0;120.0;60.0;500.0;472.21999999999997
