NU_INSCRICAO,FAIXA_ETARIA,SEXO,ESTADO_CIVIL,COR_RACA,NACIONALIDADE,ST_CONCLUSAO,ANO_CONCLUSAO,TP_ESCOLA,TP_ENSINO,MUNICIPIO_ESC,UF_ESC,DEPENDENCIA_ADM_ESC,LOCALIZACAO_ESC,SIT_FUNC_ESC,MUNICIPIO_PROVA,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,LINGUA,COMP1_REDACAO,COMP2_REDACAO,COMP3_REDACAO,COMP4_REDACAO,COMP5_REDACAO,NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
210053598330,10,M,1,parda,brasileiro,1,0,nao_respondeu,,,,,,,Macapá,507.8,402.1,414.4,505.9,espanhol,0.0,40.0,0.0,0.0,0.0,40.0,C,F,A,D,2.0,B,A,B,C,B,A,B,B,B,B,A,A,A,B,A,A,B,A,B,B
210051963215,2,M,1,branca,brasileiro,2,0,publica,1.0,Macapá,AP,2.0,1.0,1.0,Macapá,440.6,385.8,409.9,466.8,ingles,80.0,120.0,80.0,100.0,80.0,460.0,G,D,E,F,2.0,G,A,D,D,B,A,B,B,B,A,B,A,A,C,A,A,D,A,A,B
210052780483,13,F,2,parda,brasileiro,1,15,nao_respondeu,,,,,,,Macapá,550.9,652.6,595.9,645.7,espanhol,100.0,120.0,120.0,120.0,80.0,540.0,H,D,F,C,5.0,M,A,C,D,B,B,B,B,B,B,A,A,A,B,A,A,D,A,D,B
210051652440,7,M,1,parda,brasileiro,1,3,nao_respondeu,,,,,,,Santana,481.6,426.7,428.3,481.6,ingles,60.0,120.0,80.0,120.0,0.0,380.0,B,C,B,B,5.0,C,A,B,D,A,B,B,B,A,A,B,A,A,B,A,A,D,A,B,B
210051800874,6,M,1,parda,brasileiro,1,3,nao_respondeu,,,,,,,Santana,470.3,561.7,532.7,494.9,espanhol,140.0,120.0,120.0,140.0,80.0,600.0,A,B,A,A,5.0,B,A,B,C,A,A,B,A,B,A,A,A,A,A,A,A,C,A,A,A
210052633457,4,F,1,parda,brasileiro,1,1,nao_respondeu,,,,,,,Santana,472.2,434.7,426.1,457.7,ingles,120.0,120.0,80.0,100.0,120.0,540.0,C,E,D,D,3.0,C,A,B,C,A,A,B,B,A,A,A,A,A,B,A,A,D,B,A,B
210053204539,10,M,1,branca,brasileiro,1,5,nao_respondeu,,,,,,,Macapá,455.5,478.4,492.7,553.2,ingles,120.0,120.0,120.0,160.0,160.0,680.0,E,C,B,B,2.0,B,A,B,C,A,A,B,A,B,B,A,A,A,B,B,A,C,A,A,B
210052738730,17,M,2,parda,brasileiro,1,15,nao_respondeu,,,,,,,Macapá,526.5,651.8,597.1,635.4,espanhol,140.0,140.0,120.0,120.0,80.0,600.0,E,F,B,D,5.0,Q,A,C,D,C,A,B,B,B,B,B,A,B,E,A,B,E,A,D,B
210051339242,13,M,0,parda,brasileiro,1,15,nao_respondeu,,,,,,,Macapá,614.9,715.9,614.2,670.3,espanhol,160.0,200.0,140.0,120.0,100.0,720.0,B,C,A,B,3.0,K,A,C,C,B,A,B,B,B,A,B,A,A,C,A,B,C,A,C,B
210052376791,6,M,1,branca,brasileiro,1,4,nao_respondeu,,,,,,,Macapá,511.7,532.2,401.2,545.7,ingles,140.0,160.0,120.0,120.0,140.0,680.0,H,G,B,D,4.0,B,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,C,A,A,B
